Column1,word,type,v1,v2,v3,v4,v5,¹İÀÇ¾î,v6,µ¿ÀÇ¾î
0,Adorantes,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
1,Agoniatites,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
2,Borderies,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
3,Carmanians,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
4,Cartilagines,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
5,Celtillyrians,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
6,Clemclemalats,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
7,Cultrirostres,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
8,Deuteromycetes,NNPS,[³ó»ı¹°ÇĞ]  ºÒ¿ÏÀü ±Õ°­(ÜôèÇîïĞ¶Ë¼)(ºÒ¿ÏÀü±Õ·ù)  ,  ºÒ¿ÏÀü ±Õ°­(ÜôèÇîïĞ¶Ë¼)(ºÒ¿ÏÀü±Õ·ù)  ,  ºÒ¿ÏÀü ±Õ°­(ÜôèÇîïĞ¶Ë¼)(ºÒ¿ÏÀü±Õ·ù)  ,  ºÒ¿ÏÀü ±Õ°­(ÜôèÇîïĞ¶Ë¼)(ºÒ¿ÏÀü±Õ·ù)  ,ºÒ¿ÏÀü ±Õ°­,,ºÒ¿ÏÀü ±Õ°­,NaN
9,Hermetics,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,wizardry
10,Juglans,NNPS,[³ó¾÷]  È£µÎ³ª¹«¼Ó(û×ÓûáÕ)  ,  È£µÎ³ª¹«¼Ó(û×ÓûáÕ)  ,  È£µÎ³ª¹«¼Ó(û×ÓûáÕ)  ,  È£µÎ³ª¹«¼Ó(û×ÓûáÕ)  ,È£µÎ³ª¹«¼Ó,,È£µÎ³ª¹«¼Ó,NaN
11,Mans,NNPS,"  (¼ºÀÎ) ³²ÀÚ (¡ædirty old man, ladies¡¯ man, men¡¯s room)      2.    ",Longer,Longer,Longer,Longer,take,Longer,arm
12,Octans,NNPS,[Ãµ¹®]  ÆÈºĞÀÇ(ø¢İÂëğ)ÀÚ¸®  ,  ÆÈºĞÀÇ(ø¢İÂëğ)ÀÚ¸®  ,  ÆÈºĞÀÇ(ø¢İÂëğ)ÀÚ¸®  ,  ÆÈºĞÀÇ(ø¢İÂëğ)ÀÚ¸®  ,ÆÈºĞÀÇÀÚ¸®,,ÆÈºĞÀÇÀÚ¸®,NaN
13,Ordovices,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
14,Pedioecetes,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
15,Regulares,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
16,Senones,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
17,Sporangites,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
18,Tionontates,NNPS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,NaN
